bank_transaction_id,entity_code,bank_account_code,transaction_date,currency,amount,description,source,match_status,matched_payment_id
BANK-0017,NSS-UK,NSS-UK-OPS,2026-07-14,GBP,9257.89,CARD SETTLEMENT,bank_csv,matched,PAY-0017
BANK-0018,NHH-UK,NHH-UK-OPS,2026-07-04,GBP,2024.17,CHEQUE DEPOSIT,bank_csv,matched,PAY-0018
BANK-0019,NSS-UK,NSS-UK-OPS,2026-07-19,GBP,3271.16,WIRE TRANSFER,bank_csv,matched,PAY-0019
BANK-0020,NHH-UK,NHH-UK-OPS,2026-07-04,GBP,10465.65,CHEQUE DEPOSIT,bank_csv,matched,PAY-0020
BANK-0021,NHS-US,NHS-US-OPS,2026-07-31,USD,6165.81,WIRE TRANSFER,bank_csv,matched,PAY-0021
BANK-0022,NHH-UK,NHH-UK-OPS,2026-07-25,GBP,10562.85,BACS PAYMENT,bank_csv,unmatched,
BANK-0023,NHH-UK,NHH-UK-OPS,2026-06-26,GBP,10554.41,WIRE TRANSFER,bank_csv,matched,PAY-0023
BANK-0024,NHH-UK,NHH-UK-OPS,2026-07-28,GBP,42714.49,DIRECT DEBIT,bank_csv,unmatched,
BANK-0025,NSS-UK,NSS-UK-OPS,2026-08-21,GBP,28083.54,WIRE TRANSFER,bank_csv,matched,PAY-0025
BANK-0026,NHH-UK,NHH-UK-OPS,2026-08-11,GBP,29944.76,BACS PAYMENT,bank_csv,matched,PAY-0027
BANK-0027,NSS-UK,NSS-UK-OPS,2026-07-31,GBP,11661.99,DIRECT DEBIT,bank_csv,matched,PAY-0028
BANK-0028,NHH-UK,NHH-UK-OPS,2026-08-21,GBP,11894.93,BACS PAYMENT,bank_csv,matched,PAY-0029
BANK-0029,NSS-UK,NSS-UK-OPS,2026-08-05,GBP,30766.04,WIRE TRANSFER,bank_csv,matched,PAY-0030
BANK-0030,NHH-UK,NHH-UK-OPS,2026-08-15,GBP,42227.11,CARD SETTLEMENT,bank_csv,matched,PAY-0031
BANK-0031,NSS-UK,NSS-UK-OPS,2026-08-09,GBP,36722.37,BACS PAYMENT,bank_csv,unmatched,
BANK-0032,NHH-UK,NHH-UK-OPS,2026-08-22,GBP,5021.56,STANDING ORDER,bank_csv,matched,PAY-0033
BANK-0033,NHH-UK,NHH-UK-OPS,2026-07-17,GBP,8779.33,CHEQUE DEPOSIT,bank_csv,matched,PAY-0034
BANK-0034,NHH-UK,NHH-UK-OPS,2026-07-19,GBP,6504.99,STANDING ORDER,bank_csv,matched,PAY-0035
BANK-0035,NHS-US,NHS-US-OPS,2026-07-13,USD,5632.14,DIRECT DEBIT,bank_csv,matched,PAY-0036
BANK-0036,NHS-US,NHS-US-OPS,2026-08-17,USD,10293.21,CARD SETTLEMENT,bank_csv,matched,PAY-0037
BANK-0037,NHH-UK,NHH-UK-OPS,2026-08-20,GBP,10056.93,WIRE TRANSFER,bank_csv,matched,PAY-0038
BANK-0038,NHH-UK,NHH-UK-OPS,2026-07-24,GBP,5904.85,WIRE TRANSFER,bank_csv,matched,PAY-0039
BANK-0039,NHS-US,NHS-US-OPS,2026-08-07,USD,9453.78,BACS PAYMENT,bank_csv,matched,PAY-0040
BANK-0040,NHS-US,NHS-US-OPS,2026-08-13,USD,11945.76,STANDING ORDER,bank_csv,matched,PAY-0041
BANK-0041,NSS-UK,NSS-UK-OPS,2026-08-03,GBP,1984.34,WIRE TRANSFER,bank_csv,matched,PAY-0042
BANK-0042,NSS-UK,NSS-UK-OPS,2026-10-01,GBP,40282.35,BACS PAYMENT,bank_csv,matched,PAY-0044
BANK-0043,NHH-UK,NHH-UK-OPS,2026-08-25,GBP,24479.66,WIRE TRANSFER,bank_csv,matched,PAY-0045
BANK-0044,NHH-UK,NHH-UK-OPS,2026-09-27,GBP,15509.91,STANDING ORDER,bank_csv,matched,PAY-0046
BANK-0045,NHH-UK,NHH-UK-OPS,2026-09-09,GBP,44832.15,CHEQUE DEPOSIT,bank_csv,matched,PAY-0048
BANK-0046,NHH-UK,NHH-UK-OPS,2026-09-11,GBP,20841.94,DIRECT DEBIT,bank_csv,matched,PAY-0049
BANK-0047,NSS-UK,NSS-UK-OPS,2026-09-11,GBP,11276.32,CHEQUE DEPOSIT,bank_csv,unmatched,
BANK-0048,NHH-UK,NHH-UK-OPS,2026-08-31,GBP,6705.7,DIRECT DEBIT,bank_csv,unmatched,
BANK-0049,NHS-US,NHS-US-OPS,2026-09-23,USD,8653.7,BACS PAYMENT,bank_csv,matched,PAY-0052
BANK-0050,NSS-UK,NSS-UK-OPS,2026-09-24,GBP,3278.21,FASTER PAYMENT RECEIVED,bank_csv,matched,PAY-0053
BANK-0051,NHS-US,NHS-US-OPS,2026-09-11,USD,672.43,CARD SETTLEMENT,bank_csv,matched,PAY-0055
BANK-0052,NSS-UK,NSS-UK-OPS,2026-09-01,GBP,1041.64,DIRECT DEBIT,bank_csv,matched,PAY-0056
BANK-0053,,NHH-UK-OPS,2026-09-14,GBP,10039.95,DIRECT DEBIT,bank_csv,matched,PAY-0057
BANK-0054,NSS-UK,NSS-UK-OPS,2026-09-08,GBP,5242.97,STANDING ORDER,bank_csv,matched,PAY-0058
BANK-0055,NHS-US,NHS-US-OPS,2026-08-28,USD,11670.53,BACS PAYMENT,bank_csv,matched,PAY-0059
BANK-0056,NHS-US,NHS-US-OPS,2026-08-22,USD,3106.93,BACS PAYMENT,bank_csv,matched,PAY-0060
BANK-0057,NHS-US,NHS-US-OPS,2026-09-17,USD,10627.0,DIRECT DEBIT,bank_csv,matched,PAY-0061
BANK-0058,NSS-UK,NSS-UK-OPS,2026-09-02,GBP,11120.3,BACS PAYMENT,bank_csv,matched,PAY-0062
BANK-0059,NHH-UK,NHH-UK-OPS,2026-07-28,GBP,10563.28,FASTER PAYMENT RECEIVED,bank_csv,matched,PAY-0063
BANK-0060,,NHS-US-OPS,2026-07-03,USD,4709.31,CARD SETTLEMENT,bank_csv,unmatched,
BANK-0061,NHH-UK,NHH-UK-OPS,2026-07-11,GBP,1507.44,FASTER PAYMENT RECEIVED,bank_csv,unmatched,
BANK-0062,NHS-US,NHS-US-OPS,2026-08-18,USD,2100.98,CHEQUE DEPOSIT,bank_csv,matched,PAY-0066
BANK-0063,NSS-UK,NSS-UK-OPS,2026-07-12,GBP,18276.85,CARD SETTLEMENT,bank_csv,matched,PAY-0067
BANK-0064,NSS-UK,NSS-UK-OPS,2026-09-12,GBP,11276.32,DIRECT DEBIT,bank_csv,matched,PAY-0068
BANK-0065,NHH-UK,NHH-UK-OPS,2026-07-22,GBP,4990.87,DIRECT DEBIT,bank_csv,matched,PAY-0069
BANK-0066,NSS-UK,NSS-UK-OPS,2026-09-06,GBP,11120.3,CARD SETTLEMENT,bank_csv,matched,PAY-0071
BANK-0067,NHS-US,NHS-US-OPS,2026-08-25,USD,6009.76,STANDING ORDER,bank_csv,matched,PAY-0072
BANK-0068,NSS-UK,NSS-UK-OPS,2026-06-17,GBP,2145.66,FASTER PAYMENT RECEIVED,bank_csv,matched,PAY-0073
BANK-0069,NHS-US,NHS-US-OPS,2026-07-03,USD,3416.43,CHEQUE DEPOSIT,bank_csv,matched,PAY-0074
BANK-0070,,NSS-UK-OPS,2026-08-28,GBP,3532.38,FASTER PAYMENT RECEIVED,bank_csv,unmatched,
BANK-0071,NHH-UK,NHH-UK-OPS,2026-08-01,GBP,1457.21,CHEQUE DEPOSIT,bank_csv,unmatched,
BANK-0072,NHS-US,NHS-US-OPS,2026-08-02,USD,-63.04,BANK CHARGES,bank_csv,unmatched,
BANK-0073,NHH-UK,NHH-UK-OPS,2026-07-17,GBP,-90.38,BANK CHARGES,bank_csv,unmatched,
BANK-0074,NHS-US,NHS-US-OPS,2026-06-19,USD,-143.21,BANK CHARGES,bank_csv,unmatched,
BANK-0075,NHS-US,NHS-US-OPS,2026-06-16,USD,-164.75,BANK CHARGES,bank_csv,unmatched,
BANK-0076,NHS-US,NHS-US-OPS,2026-07-22,USD,-224.37,BANK CHARGES,bank_csv,unmatched,
BANK-0077,NHH-UK,NHH-UK-OPS,2026-07-14,GBP,-80.05,BANK CHARGES,bank_csv,unmatched,
BANK-0078,NHS-US,NHS-US-OPS,2026-08-31,USD,-151.89,BANK CHARGES,bank_csv,unmatched,
BANK-0079,NSS-UK,NSS-UK-OPS,2026-06-15,GBP,-228.43,BANK CHARGES,bank_csv,unmatched,
BANK-0080,NHS-US,NHS-US-OPS,2026-07-04,USD,-12.3,BANK CHARGES,bank_csv,unmatched,
BANK-0081,NHS-US,NHS-US-OPS,2026-08-27,USD,-7.91,BANK CHARGES,bank_csv,unmatched,
