invoice_id,invoice_type,invoice_number,entity_code,customer_code,vendor_code,vendor_name_raw,invoice_date,due_date,currency,amount,source,account_code,status,period
INV-0013,AR,NSS-UK-AR-202606-C0013,NSS-UK,C0013,,,2026-06-27,2026-07-27,GBP,35037.48,billing_api,4000,open,2026-06
INV-0014,AR,NHH-UK-AR-202606-C0014,NHH-UK,C0014,,,2026-06-02,2026-07-02,GBP,36616.97,billing_api,4030,open,2026-06
INV-0015,AR,NSS-UK-AR-202606-C0015,NSS-UK,C0015,,,2026-06-07,2026-07-07,GBP,41264.85,billing_api,4020,open,2026-06
INV-0016,AP,NSS-UK-AP-202606-V0001-246,NSS-UK,,,Medical Supplies Limited,2026-06-16,2026-07-16,GBP,3288.83,ap_email_pdf,5000,open,2026-06
INV-0017,AP,NSS-UK-AP-202606-V0002-651,NSS-UK,,V0002,Apex Facilities Management,2026-06-18,2026-07-18,GBP,3263.49,ap_email_pdf,5010,open,2026-06
INV-0018,AP,NHS-US-AP-202606-V0003-697,NHS-US,,V0003,Bluewater IT Services,2026-06-29,2026-07-29,USD,4882.9,ap_email_pdf,5020,open,2026-06
INV-0019,AP,NHH-UK-AP-202606-V0003-621,NHH-UK,,V0003,Bluewater IT Services,2026-06-05,2026-07-05,GBP,5998.16,ap_email_pdf,5020,open,2026-06
INV-0020,AP,NHH-UK-AP-202606-V0004-742,NHH-UK,,V0004,Sterling Diagnostics Equipment,2026-06-05,2026-07-05,GBP,2045.79,ap_email_pdf,1040,open,2026-06
INV-0021,AP,NHS-US-AP-202606-V0005-165,NHS-US,,V0005,Crestline Office Solutions,2026-06-20,2026-07-20,USD,4709.49,ap_email_pdf,5090,open,2026-06
INV-0022,AP,NSS-UK-AP-202606-V0005-641,NSS-UK,,V0005,Crestline Office Solutions,2026-06-15,2026-07-15,GBP,3129.26,ap_email_pdf,5090,open,2026-06
INV-0023,AP,NHH-UK-AP-202606-V0006-838,NHH-UK,,V0006,Harborview Cleaning Services,2026-06-22,2026-07-22,GBP,1507.44,ap_email_pdf,5010,open,2026-06
INV-0024,AP,NSS-UK-AP-202606-V0006-373,NSS-UK,,V0006,Harborview Cleaning Services,2026-06-25,2026-07-25,GBP,9257.89,ap_email_pdf,5010,open,2026-06
INV-0025,AP,NHH-UK-AP-202606-V0007-545,NHH-UK,,V0007,Prime Medical Devices Inc,2026-06-10,2026-07-10,GBP,2024.17,ap_email_pdf,5000,open,2026-06
INV-0026,AP,NSS-UK-AP-202606-V0008-836,NSS-UK,,V0008,National Payroll Services,2026-06-29,2026-07-29,GBP,3271.16,ap_email_pdf,5040,open,2026-06
INV-0027,AP,NHH-UK-AP-202606-V0009-208,NHH-UK,,V0009,Grantham Legal Partners,2026-06-17,2026-07-17,GBP,10465.65,ap_email_pdf,5040,open,2026-06
INV-0028,AP,NHS-US-AP-202606-V0009-754,NHS-US,,V0009,Grantham Legal Partners,2026-06-27,2026-07-27,USD,6165.81,ap_email_pdf,5040,open,2026-06
INV-0029,AP,NHH-UK-AP-202606-V0010-880,,,V0010,Oakridge Laboratory Supplies,2026-06-12,2026-07-12,GBP,2064.36,ap_email_pdf,5050,open,2026-06
INV-0030,AP,NHH-UK-AP-202606-V0011-431,,,V0011,Vantage Software Solutions,2026-06-20,2026-07-20,GBP,5939.98,ap_email_pdf,5020,open,2026-06
INV-0031,AP,NHH-UK-AP-202606-V0011-471,NHH-UK,,V0011,Vantage Software Solutions,2026-06-30,2026-07-30,GBP,10562.85,ap_email_pdf,5020,open,2026-06
INV-0032,AP,NHH-UK-AP-202606-V0012-346,NHH-UK,,V0012,Union Linen & Uniform Services,2026-06-02,2026-07-02,GBP,10554.41,ap_email_pdf,5010,open,2026-06
INV-0033,AR,NHH-UK-AR-202607-C0002,NHH-UK,C0002,,,2026-07-16,2026-08-15,GBP,37089.0,billing_api,4010,open,2026-07
INV-0034,AR,NHH-UK-AR-202607-C0003,NHH-UK,C0003,,,2026-07-16,2026-08-15,GBP,42714.49,billing_api,4010,open,2026-07
INV-0035,AR,NSS-UK-AR-202607-C0004,NSS-UK,C0004,,,2026-07-28,2026-08-27,GBP,28083.54,billing_api,4010,open,2026-07
INV-0036,AR,NHH-UK-AR-202607-C0006,NHH-UK,C0006,,,2026-07-23,2026-08-22,GBP,10649.5,billing_api,4020,open,2026-07
INV-0037,AR,NHH-UK-AR-202607-C0007,NHH-UK,C0007,,,2026-07-22,2026-08-21,GBP,29944.76,billing_api,4030,open,2026-07
INV-0038,AR,NSS-UK-AR-202607-C0009,NSS-UK,C0009,,,2026-07-08,2026-08-07,GBP,11661.99,billing_api,4020,open,2026-07
INV-0039,AR,NHH-UK-AR-202607-C0010,NHH-UK,C0010,,,2026-07-18,2026-08-17,GBP,11894.93,billing_api,4010,open,2026-07
INV-0040,AR,NSS-UK-AR-202607-C0011,,C0011,,,2026-07-23,2026-08-22,GBP,29137.43,billing_api,4010,open,2026-07
INV-0041,AR,NSS-UK-AR-202607-C0012,NSS-UK,C0012,,,2026-07-02,2026-08-01,GBP,38964.32,billing_api,4000,open,2026-07
INV-0042,AR,NSS-UK-AR-202607-C0013,NSS-UK,C0013,,,2026-07-09,2026-08-08,GBP,30766.04,billing_api,4010,open,2026-07
INV-0043,AR,NHH-UK-AR-202607-C0014,NHH-UK,C0014,,,2026-07-24,2026-08-23,GBP,42227.11,billing_api,4030,open,2026-07
INV-0044,AR,NSS-UK-AR-202607-C0015,NSS-UK,C0015,,,2026-07-16,2026-08-15,GBP,36722.37,billing_api,4010,open,2026-07
INV-0045,AP,NHH-UK-AP-202607-V0001-533,NHH-UK,,V0001,Medical Supplies Ltd,2026-07-22,2026-08-21,GBP,5021.56,ap_email_pdf,5000,open,2026-07
INV-0046,AP,NHH-UK-AP-202607-V0002-769,NHH-UK,,V0002,Apex Facilities Management,2026-07-22,2026-08-21,GBP,11812.36,ap_email_pdf,5060,open,2026-07
INV-0047,AP,NHH-UK-AP-202607-V0002-512,NHH-UK,,V0002,Apex Facilities Management,2026-07-02,2026-08-01,GBP,8779.33,ap_email_pdf,5010,open,2026-07
INV-0048,AP,NHH-UK-AP-202607-V0003-294,NHH-UK,,V0003,Bluewater IT Services,2026-07-07,2026-08-06,GBP,6504.99,ap_email_pdf,5020,open,2026-07
INV-0049,AP,NHS-US-AP-202607-V0004-385,NHS-US,,V0004,Sterling Diagnostics Equipment,2026-07-06,2026-08-05,USD,5632.14,ap_email_pdf,1040,open,2026-07
INV-0050,AP,NHS-US-AP-202607-V0005-982,NHS-US,,V0005,Crestline Office Solutions,2026-07-26,2026-08-25,USD,10293.21,ap_email_pdf,5090,open,2026-07
INV-0051,AP,NHH-UK-AP-202607-V0006-653,NHH-UK,,V0006,Harborview Cleaning Services,2026-07-21,2026-08-20,GBP,10056.93,ap_email_pdf,5070,open,2026-07
INV-0052,AP,NHH-UK-AP-202607-V0007-516,NHH-UK,,V0007,Prime Medical Devices Inc,2026-07-06,2026-08-05,GBP,5904.85,ap_email_pdf,5000,open,2026-07
INV-0053,AP,NHS-US-AP-202607-V0008-160,NHS-US,,V0008,National Payroll Services,2026-07-29,2026-08-28,USD,2100.95,ap_email_pdf,5040,open,2026-07
INV-0054,AP,NHS-US-AP-202607-V0009-902,NHS-US,,V0009,Grantham Legal Partners,2026-07-09,2026-08-08,USD,9453.78,ap_email_pdf,5040,open,2026-07
INV-0055,AP,NHS-US-AP-202607-V0010-848,NHS-US,,V0010,Oakridge Laboratory Supplies,2026-07-23,2026-08-22,USD,11945.76,ap_email_pdf,5060,open,2026-07
INV-0056,AP,NSS-UK-AP-202607-V0011-598,NSS-UK,,V0011,Vantage Software Solutions,2026-07-23,2026-08-22,GBP,1984.34,ap_email_pdf,5020,open,2026-07
INV-0057,AP,NHS-US-AP-202607-V0011-159,NHS-US,,V0011,Vantage Software Solutions,2026-07-07,2026-08-06,USD,7013.29,ap_email_pdf,5020,open,2026-07
INV-0058,AP,NHH-UK-AP-202607-V0012-421,NHH-UK,,V0012,Union Linen & Uniform Services,2026-07-24,2026-08-23,GBP,827.41,ap_email_pdf,5010,open,2026-07
INV-0059,AP,NSS-UK-AP-202607-V0012-614,NSS-UK,,V0012,Union Linen & Uniform Services,2026-07-16,2026-08-15,GBP,11044.74,ap_email_pdf,5010,open,2026-07
INV-0060,AR,NSS-UK-AR-202608-C0001,NSS-UK,C0001,,,2026-08-02,2026-09-01,GBP,43313.49,billing_api,4000,open,2026-08
INV-0061,AR,NHH-UK-AR-202608-C0003,NHH-UK,C0003,,,2026-08-03,2026-09-02,GBP,31034.14,billing_api,4010,open,2026-08
INV-0062,AR,NSS-UK-AR-202608-C0004,NSS-UK,C0004,,,2026-08-31,2026-09-30,GBP,40282.35,billing_api,4010,open,2026-08
INV-0063,AR,NHS-US-AR-202608-C0005,NHS-US,C0005,,,2026-08-02,2026-09-01,USD,28633.4,billing_api,4030,open,2026-08
INV-0064,AR,NHH-UK-AR-202608-C0006,NHH-UK,C0006,,,2026-08-19,2026-09-18,GBP,24479.66,billing_api,4020,open,2026-08
INV-0065,AR,NHH-UK-AR-202608-C0007,NHH-UK,C0007,,,2026-08-23,2026-09-22,GBP,15509.91,billing_api,4020,open,2026-08
INV-0066,AR,NHH-UK-AR-202608-C0008,NHH-UK,C0008,,,2026-08-22,2026-09-21,GBP,29756.53,billing_api,4030,open,2026-08
INV-0067,AR,NSS-UK-AR-202608-C0009,NSS-UK,C0009,,,2026-08-25,2026-09-24,GBP,42236.57,billing_api,4000,open,2026-08
INV-0068,AR,NHH-UK-AR-202608-C0010,NHH-UK,C0010,,,2026-08-19,2026-09-18,GBP,44832.15,billing_api,4000,open,2026-08
INV-0069,AR,NSS-UK-AR-202608-C0011,NSS-UK,C0011,,,2026-08-17,2026-09-16,GBP,13403.62,billing_api,4020,open,2026-08
INV-0070,AR,NHH-UK-AR-202608-C0014,NHH-UK,C0014,,,2026-08-06,2026-09-05,GBP,20841.94,billing_api,4020,open,2026-08
INV-0071,AR,NSS-UK-AR-202608-C0015,NSS-UK,C0015,,,2026-08-26,2026-09-25,GBP,30120.98,billing_api,4000,open,2026-08
INV-0072,AP,NSS-UK-AP-202608-V0001-206,NSS-UK,,V0001,Medical Supplies Ltd,2026-08-10,2026-09-09,GBP,11276.32,ap_email_pdf,5000,open,2026-08
INV-0073,AP,NHH-UK-AP-202608-V0001-860,NHH-UK,,,Med Supplies Ltd,2026-08-09,2026-09-08,GBP,6705.7,ap_email_pdf,5000,open,2026-08
INV-0074,AP,NHS-US-AP-202608-V0002-315,NHS-US,,V0002,Apex Facilities Management,2026-08-20,2026-09-19,USD,8653.7,ap_email_pdf,5010,open,2026-08
INV-0075,AP,NSS-UK-AP-202608-V0003-973,NSS-UK,,V0003,Bluewater IT Services,2026-08-21,2026-09-20,GBP,3278.21,ap_email_pdf,5020,open,2026-08
INV-0076,AP,NHS-US-AP-202608-V0004-966,NHS-US,,V0004,Sterling Diagnostics Equipment,2026-08-29,2026-09-28,USD,751.97,ap_email_pdf,1040,open,2026-08
INV-0077,AP,NHS-US-AP-202608-V0005-383,NHS-US,,V0005,Crestline Office Solutions,2026-08-27,2026-09-26,USD,672.43,ap_email_pdf,5090,open,2026-08
INV-0078,AP,NHS-US-AP-202608-V0005-233,NHS-US,,V0005,Crestline Office Solutions,2026-08-25,2026-09-24,USD,7699.79,ap_email_pdf,5090,open,2026-08
INV-0079,AP,NHH-UK-AP-202608-V0006-552,NHH-UK,,V0006,Harborview Cleaning Services,2026-08-24,2026-09-23,GBP,6687.41,ap_email_pdf,5010,open,2026-08
INV-0080,AP,NSS-UK-AP-202608-V0007-214,NSS-UK,,V0007,Prime Medical Devices Inc,2026-08-01,2026-08-31,GBP,1041.64,ap_email_pdf,5000,open,2026-08
INV-0081,AP,NHH-UK-AP-202608-V0008-136,NHH-UK,,V0008,National Payroll Services,2026-08-18,2026-09-17,GBP,10039.95,ap_email_pdf,5040,open,2026-08
INV-0082,AP,NSS-UK-AP-202608-V0008-251,NSS-UK,,V0008,National Payroll Services,2026-08-18,2026-09-17,GBP,5242.97,ap_email_pdf,5040,open,2026-08
INV-0083,AP,NHS-US-AP-202608-V0009-915,NHS-US,,V0009,Grantham Legal Partners,2026-08-12,2026-09-11,USD,11670.53,ap_email_pdf,5040,open,2026-08
INV-0084,AP,NHS-US-AP-202608-V0010-798,NHS-US,,V0010,Oakridge Laboratory Supplies,2026-08-07,2026-09-06,USD,3106.93,ap_email_pdf,5000,open,2026-08
INV-0085,AP,NHS-US-AP-202608-V0011-673,NHS-US,,V0011,Vantage Software Solutions,2026-08-25,2026-09-24,USD,10627.0,ap_email_pdf,5010,open,2026-08
INV-0086,AP,NSS-UK-AP-202608-V0012-258,NSS-UK,,V0012,Union Linen & Uniform Services,2026-08-24,2026-09-23,GBP,11120.3,ap_email_pdf,5010,open,2026-08
INV-0087,AP,NHH-UK-AP-202606-V0011-471,NHH-UK,,V0011,Vantage Software Solutions,2026-06-30,2026-07-30,GBP,10563.28,ap_email_pdf,5020,open,2026-06
INV-0088,AP,NHS-US-AP-202606-V0005-165,NHS-US,,V0005,Crestline Office Solutions,2026-06-20,2026-07-20,USD,4709.31,ap_email_pdf,5090,open,2026-06
INV-0089,AP,NHH-UK-AP-202606-V0006-838,NHH-UK,,V0006,Harborview Cleaning Services,2026-06-22,2026-07-22,GBP,1507.44,ap_email_pdf,5010,open,2026-06
INV-0090,AP,NHS-US-AP-202607-V0008-160,NHS-US,,V0008,National Payroll Services,2026-07-29,2026-08-28,USD,2100.98,ap_email_pdf,5040,open,2026-07
INV-0091,AR,NSS-UK-AR-202606-C0004,NSS-UK,C0004,,,2026-06-30,2026-07-30,GBP,18276.85,billing_api,4020,open,2026-06
INV-0092,AR,NHH-UK-AR-202607-C0014,NHH-UK,C0014,,,2026-07-24,2026-08-23,GBP,42227.34,billing_api,4030,open,2026-07
