payment_id,entity_code,invoice_id,payment_date,currency,amount,payment_type,source,status
PAY-0040,NHS-US,INV-0054,2026-08-05,USD,9453.78,made,bank_csv,matched
PAY-0041,NHS-US,INV-0055,2026-08-12,USD,11945.76,made,bank_csv,matched
PAY-0042,NSS-UK,INV-0056,2026-08-01,GBP,1984.34,made,bank_csv,matched
PAY-0043,NHS-US,INV-0057,2026-07-12,USD,7013.29,made,bank_csv,matched
PAY-0044,NSS-UK,INV-0062,2026-09-30,GBP,40282.35,received,bank_csv,matched
PAY-0045,NHH-UK,INV-0064,2026-08-25,GBP,24479.66,received,bank_csv,matched
PAY-0046,NHH-UK,INV-0065,2026-09-26,GBP,15509.91,received,bank_csv,matched
PAY-0047,NSS-UK,INV-0067,2026-09-24,GBP,42236.57,received,bank_csv,matched
PAY-0048,NHH-UK,INV-0068,2026-09-09,GBP,44832.15,received,bank_csv,matched
PAY-0049,NHH-UK,INV-0070,2026-09-10,GBP,20841.94,received,bank_csv,matched
PAY-0050,NSS-UK,INV-0072,2026-09-10,GBP,11276.32,made,bank_csv,matched
PAY-0051,NHH-UK,INV-0073,2026-08-30,GBP,6705.7,made,bank_csv,matched
PAY-0052,NHS-US,INV-0074,2026-09-23,USD,8653.7,made,bank_csv,matched
PAY-0053,NSS-UK,INV-0075,2026-09-23,GBP,3278.21,made,bank_csv,matched
PAY-0054,NHS-US,INV-0076,2026-09-30,USD,751.97,made,bank_csv,matched
PAY-0055,NHS-US,INV-0077,2026-09-09,USD,672.43,made,bank_csv,matched
PAY-0056,NSS-UK,INV-0080,2026-08-30,GBP,1041.64,made,bank_csv,matched
PAY-0057,NHH-UK,INV-0081,2026-09-12,GBP,10039.95,made,bank_csv,matched
PAY-0058,NSS-UK,INV-0082,2026-09-06,GBP,5242.97,made,bank_csv,matched
PAY-0059,NHS-US,INV-0083,2026-08-26,USD,11670.53,made,bank_csv,matched
PAY-0060,NHS-US,INV-0084,2026-08-22,USD,3106.93,made,bank_csv,matched
PAY-0061,NHS-US,INV-0085,2026-09-16,USD,10627.0,made,bank_csv,matched
PAY-0062,NSS-UK,INV-0086,2026-09-02,GBP,11120.3,made,bank_csv,matched
PAY-0063,NHH-UK,INV-0087,2026-07-27,GBP,10563.28,made,bank_csv,matched
PAY-0064,NHS-US,INV-0088,2026-07-01,USD,4709.31,made,bank_csv,matched
PAY-0065,NHH-UK,INV-0089,2026-07-10,GBP,1507.44,made,bank_csv,matched
PAY-0066,NHS-US,INV-0090,2026-08-17,USD,2100.98,made,bank_csv,matched
PAY-0067,NSS-UK,INV-0091,2026-07-11,GBP,18276.85,received,bank_csv,matched
PAY-0068,NSS-UK,INV-0072,2026-09-11,GBP,11276.32,made,bank_csv,matched
PAY-0069,NHH-UK,INV-0006,2026-07-20,GBP,4990.87,received,bank_csv,matched
PAY-0070,NHH-UK,INV-0070,2026-09-13,GBP,20841.94,received,bank_csv,matched
PAY-0071,NSS-UK,INV-0086,2026-09-06,GBP,11120.3,made,bank_csv,matched
PAY-0072,NHS-US,,2026-08-24,USD,6009.76,received,bank_csv,unmatched
PAY-0073,NSS-UK,,2026-06-16,GBP,2145.66,received,bank_csv,unmatched
PAY-0074,NHS-US,,2026-07-01,USD,3416.43,received,bank_csv,unmatched
PAY-0075,NSS-UK,,2026-08-26,GBP,3532.38,received,bank_csv,unmatched
PAY-0076,NHH-UK,,2026-07-30,GBP,1457.21,received,bank_csv,unmatched
